image_id,split,label,source_label_dir,file_path,file_name,file_ext,file_size_bytes,sha256,is_readable,width,height,aspect_ratio,mode,perceptual_hash,error,ingested_at_utc
a3e133e326a299f7,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/0055.JPEG,0055.JPEG,.jpeg,8795,224fb2be739f2e077bf3a1bf2a30b61b7dc7dd2408714c2426472bbe3179045b,True,259,194,1.3350515463917525,RGB,007f3f20b0f07676,,2026-04-07T17:08:59+00:00
acb27cea037a9118,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/0204.JPEG,0204.JPEG,.jpeg,8795,224fb2be739f2e077bf3a1bf2a30b61b7dc7dd2408714c2426472bbe3179045b,True,259,194,1.3350515463917525,RGB,007f3f20b0f07676,,2026-04-07T17:08:59+00:00
3cf4b6e7e7e056b9,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/0035.jpeg,0035.jpeg,.jpeg,9111,27e908cc6a5b9999fc7b0cacec42f93a9a59576e4b72927205c9939ff4a4e934,True,275,183,1.5027322404371584,RGB,317e3ffffb000000,,2026-04-07T17:08:59+00:00
40719d9551570481,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/0048.JPEG,0048.JPEG,.jpeg,6987,298db71585f78b044322bf427277896481f892cbc9d185dd889d08520ad8d4e5,True,227,222,1.0225225225225225,RGB,782effff6f070300,,2026-04-07T17:08:59+00:00
23ff6b4e9ae5fe5f,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/0237.JPEG,0237.JPEG,.jpeg,6987,298db71585f78b044322bf427277896481f892cbc9d185dd889d08520ad8d4e5,True,227,222,1.0225225225225225,RGB,782effff6f070300,,2026-04-07T17:08:59+00:00
29fb336e35cb6874,train,severe,03-severe,/Users/wangzhuoran/Desktop/COGS 109 project/training/03-severe/0154.JPEG,0154.JPEG,.jpeg,7744,2c0e48d5e62e16cfe4781922263913a174e474a77cc8e9e9662d698e435dddb0,True,261,193,1.3523316062176165,RGB,ffffff2700000001,,2026-04-07T17:08:59+00:00
46c8a0453636d45b,train,severe,03-severe,/Users/wangzhuoran/Desktop/COGS 109 project/training/03-severe/0339.JPEG,0339.JPEG,.jpeg,7744,2c0e48d5e62e16cfe4781922263913a174e474a77cc8e9e9662d698e435dddb0,True,261,193,1.3523316062176165,RGB,ffffff2700000001,,2026-04-07T17:08:59+00:00
6bd01c5a72429bbb,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/images (25).jpeg,images (25).jpeg,.jpeg,6863,2e33ee867b289c5b54773e9f10c50094736e436520fd82c5499dc800e5eee416,True,275,183,1.5027322404371584,RGB,e32b737f3f1f1e18,,2026-04-07T17:08:59+00:00
b767105f91142692,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/images (64).jpeg,images (64).jpeg,.jpeg,1776,2e7cfd9c062d9569482c3977b840f393abe838d60e5d303b0224e72cc851a45d,True,100,100,1.0,RGB,fffefcfc7c000000,,2026-04-07T17:08:59+00:00
c087bcea6700dc7f,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/0090.JPEG,0090.JPEG,.jpeg,7856,34c1fe20795b05f46c6d9e888d7734ac8609edfd3bd690246ede521f136b837d,True,259,194,1.3350515463917525,RGB,f7fffee6fe000000,,2026-04-07T17:08:59+00:00
cdff8b57b6557c11,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/0198.JPEG,0198.JPEG,.jpeg,7856,34c1fe20795b05f46c6d9e888d7734ac8609edfd3bd690246ede521f136b837d,True,259,194,1.3350515463917525,RGB,f7fffee6fe000000,,2026-04-07T17:08:59+00:00
e0ff515cae4f6ae6,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/0067.JPEG,0067.JPEG,.jpeg,9405,3fc47b3eb3fa79151955e2087666684ad3ae4f3c9fcf30b6f6f53298703bf782,True,267,189,1.4126984126984128,RGB,80f0fecc89800fff,,2026-04-07T17:08:59+00:00
20dc9f71d90b8c57,heldout_test,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/validation/02-moderate/download (20).jpeg,download (20).jpeg,.jpeg,10164,419382843fba094af4d4f4366f857c847431db20447a113636d487e8413efc30,True,275,183,1.5027322404371584,RGB,787ce4fe3e1e0000,,2026-04-07T17:08:59+00:00
064d5b80ae4d9e0e,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0027.jpeg,0027.jpeg,.jpeg,6448,42729fb0fef7230f6c1f5727ff3c0e18c330cd5e64f3771d9037ad102d88603e,True,290,174,1.6666666666666667,RGB,87beff1900300000,,2026-04-07T17:08:59+00:00
ebe8286d9b51ad10,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/0003.JPEG,0003.JPEG,.jpeg,6448,42729fb0fef7230f6c1f5727ff3c0e18c330cd5e64f3771d9037ad102d88603e,True,290,174,1.6666666666666667,RGB,87beff1900300000,,2026-04-07T17:08:59+00:00
356ad543df2c916d,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/0005.JPEG,0005.JPEG,.jpeg,5780,4b9f1bc35ba42b49d134027956bbe5fdd1ddca9ed6ea9ece954b6a3a5edc1296,True,259,194,1.3350515463917525,RGB,ff233d3e1e1c0000,,2026-04-07T17:08:59+00:00
d90215a0c66b09e9,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/0211.jpeg,0211.jpeg,.jpeg,5780,4b9f1bc35ba42b49d134027956bbe5fdd1ddca9ed6ea9ece954b6a3a5edc1296,True,259,194,1.3350515463917525,RGB,ff233d3e1e1c0000,,2026-04-07T17:08:59+00:00
2fbe790fa8fe696e,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/0058.JPEG,0058.JPEG,.jpeg,9420,5c17dab549cb94d40ed625a04888c89ebb97714152e8cd257b5295fc9a50d8ab,True,267,189,1.4126984126984128,RGB,80f0fecc89800fff,,2026-04-07T17:08:59+00:00
f4738adb2908349a,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/0108.JPEG,0108.JPEG,.jpeg,6096,5db1d1820e0cecd177ffc0b09bf4d13edeb74a4c374c2b14b28b5281a5fc789b,True,275,183,1.5027322404371584,RGB,7ffe7f0f0f030000,,2026-04-07T17:08:59+00:00
5ef706fe1f8f6899,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/0221.JPEG,0221.JPEG,.jpeg,6096,5db1d1820e0cecd177ffc0b09bf4d13edeb74a4c374c2b14b28b5281a5fc789b,True,275,183,1.5027322404371584,RGB,7ffe7f0f0f030000,,2026-04-07T17:08:59+00:00
78d6c0c82d3e8777,heldout_test,severe,03-severe,/Users/wangzhuoran/Desktop/COGS 109 project/validation/03-severe/0030.JPEG,0030.JPEG,.jpeg,9129,687a1a2aebcd8c0f5d8b2be340f7bd11018248a649aecfb2e66c9e551efb6943,True,275,183,1.5027322404371584,RGB,faf1e0f002f2c000,,2026-04-07T17:08:59+00:00
83bb2afa9a86096e,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0004.JPEG,0004.JPEG,.jpeg,8465,6f3372296185251320a5a020b53e78855d77ec15bfd013aa43cc7858fa045eaa,True,259,194,1.3350515463917525,RGB,f0b0c1c083170707,,2026-04-07T17:08:59+00:00
7f7acb13b469aecd,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/0263.JPEG,0263.JPEG,.jpeg,8465,6f3372296185251320a5a020b53e78855d77ec15bfd013aa43cc7858fa045eaa,True,259,194,1.3350515463917525,RGB,f0b0c1c083170707,,2026-04-07T17:08:59+00:00
cfbf6f65ce94adf3,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/0299.JPEG,0299.JPEG,.jpeg,10138,763dd7021d15528a7fa8b85dcde70ce862dd39a3d9c1308fb34782e643ba53ad,True,259,194,1.3350515463917525,RGB,ffff7b010100e0e0,,2026-04-07T17:08:59+00:00
43fc5adf99f83400,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/0258.JPEG,0258.JPEG,.jpeg,8002,7708c5f4c4b2c7e5856ced111a0719a8258c5173f2c9794e5bcca74b6d31e9cf,True,275,183,1.5027322404371584,RGB,1fbf3f7930200700,,2026-04-07T17:08:59+00:00
8c0113f11326cc0c,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/0209.JPEG,0209.JPEG,.jpeg,10319,90cdc8a44290b3dc52aeaffbd20193e63b9538c0de348d1320a374628921fc1e,True,259,194,1.3350515463917525,RGB,ffff7b010100e0e0,,2026-04-07T17:08:59+00:00
59843d52d0047484,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/images (51).jpeg,images (51).jpeg,.jpeg,7844,91a3bd503564c188b4a4e5ca93e98346dda79e517c94ac19e7071828e263daf8,True,284,177,1.6045197740112995,RGB,1fbf3f7930200700,,2026-04-07T17:08:59+00:00
d8c28cfa45e2144f,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/images (96).jpeg,images (96).jpeg,.jpeg,9953,94959db1e7f9453b316028840b47c2fe04b6c425120c7cace7dd33404bbb0abb,True,275,183,1.5027322404371584,RGB,787ce4fe3e1e0000,,2026-04-07T17:08:59+00:00
72d5b5698f6ed952,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/images (27).jpeg,images (27).jpeg,.jpeg,6652,99244492524b5d29bbb12296a1bc96232067c666eff720c471971af6afd422ee,True,275,183,1.5027322404371584,RGB,e32b737f3f1f1e18,,2026-04-07T17:08:59+00:00
661bec1c693d3281,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/0009.JPEG,0009.JPEG,.jpeg,8272,b829b95aba463fcdc70e14f69efac2f880da91aebfd9c5994f65c94b5247e1c3,True,275,183,1.5027322404371584,RGB,317e3ffffb000000,,2026-04-07T17:08:59+00:00
97dfee55ffe04e46,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/0016.JPEG,0016.JPEG,.jpeg,6559,d59ccbfc77c288288b32595b11ed1a6994aa9d742b65b307de7f0582faa756a8,True,290,174,1.6666666666666667,RGB,3c7810a3e7fce080,,2026-04-07T17:08:59+00:00
b26ece09564c2bea,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/0109.JPEG,0109.JPEG,.jpeg,6559,d59ccbfc77c288288b32595b11ed1a6994aa9d742b65b307de7f0582faa756a8,True,290,174,1.6666666666666667,RGB,3c7810a3e7fce080,,2026-04-07T17:08:59+00:00
74f2042bc046f4df,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/0071.JPEG,0071.JPEG,.jpeg,10860,d8402c573a76d4919d2748b6a1942296fbe0868a166148cbe823bd1e5267ea44,True,259,195,1.3282051282051281,RGB,0f1331f8e1e387ff,,2026-04-07T17:08:59+00:00
37d89b9082985385,train,moderate,02-moderate,/Users/wangzhuoran/Desktop/COGS 109 project/training/02-moderate/images (112).jpeg,images (112).jpeg,.jpeg,10860,d8402c573a76d4919d2748b6a1942296fbe0868a166148cbe823bd1e5267ea44,True,259,195,1.3282051282051281,RGB,0f1331f8e1e387ff,,2026-04-07T17:08:59+00:00
4dda880a6d6a55de,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/0014.JPEG,0014.JPEG,.jpeg,7334,e0d9d47793e0785aecd7508b9f554ee854b98ef5077ec03fbf5be328c3941ac7,True,275,183,1.5027322404371584,RGB,ffff3c1e0d464080,,2026-04-07T17:08:59+00:00
e198649602366e8b,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/0190.JPEG,0190.JPEG,.jpeg,7334,e0d9d47793e0785aecd7508b9f554ee854b98ef5077ec03fbf5be328c3941ac7,True,275,183,1.5027322404371584,RGB,ffff3c1e0d464080,,2026-04-07T17:08:59+00:00
05c2b1004f010f1f,train,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/training/01-minor/download.jpeg,download.jpeg,.jpeg,1779,eb2e9e9be09965f671542e9580e90cac2d8887186ff6ccd55d147e555ee62841,True,100,100,1.0,RGB,fffefcfc7c000000,,2026-04-07T17:08:59+00:00
57b958d0c9e53e48,heldout_test,severe,03-severe,/Users/wangzhuoran/Desktop/COGS 109 project/validation/03-severe/0056.JPEG,0056.JPEG,.jpeg,9545,f78738ffb889bd0798a122f80f0c0be68bc5f597959bfc57a32377e2c791091a,True,275,183,1.5027322404371584,RGB,faf1e0f002f2c000,,2026-04-07T17:08:59+00:00
